time,Unnamed: 0,Tair_[°C],sol_[W/m2],vap_[mbar],cloud_[-],U10_[m/s],Temp_[C],Adir,H_sw,H_lw_in,H_lw_out,H_le,H_c,H_net_atm
2024-06-24 21:00:00,4221,19.01047435830577,0.0,18.44063640971503,1.0,0.8828553137559638,19.32952117919922,0.073,0.0,427.60368322932374,-403.8545899369538,-26.118412692270937,-1.406035557588506,-3.7753549574895082
2024-06-24 22:00:00,4222,18.95201294902779,0.0,19.02583003919322,0.9999897600469148,1.5821545812160553,19.316936492919922,0.073,0.0,429.1837548178011,-403.7851106324029,-26.774868821228644,-1.9468125393214688,-3.3230371751519012
2024-06-24 23:00:00,4223,18.04422568292057,0.0,19.872412193519928,1.0,2.4085811432992537,19.136503219604492,0.073,0.0,426.7104704651639,-402.789934630508,-22.080880726848143,-7.161554883525235,-5.321899775717498
2024-06-25 00:00:00,4224,18.15354989126104,0.0,18.644379593819814,0.999994212087712,1.2549701774993751,18.89854621887207,0.073,0.0,423.4514425591662,-401.48030178750815,-23.518661994859727,-3.7066376077648977,-5.254158830966582
2024-06-25 01:00:00,4225,18.42157891416105,0.0,18.61725741628253,1.0,0.9947046539086547,18.787696838378906,0.073,0.0,424.86806347908487,-400.87131679408884,-20.72246723988256,-1.6705162035856373,1.6037632415278305
2024-06-25 02:00:00,4226,18.399657225080773,0.0,18.353548467656807,0.9554305269113792,0.7149079339215755,18.838632583618164,0.073,0.0,418.5124845371506,-401.1510618008896,-21.221685025225312,-1.8474243442551794,-5.707686633219458
2024-06-25 03:00:00,4227,18.19793627366932,0.0,18.34577544861406,1.0,1.5285859610227936,18.925018310546875,0.073,0.0,422.72485956535144,-401.62583690127286,-27.890252204678188,-3.8766235806790315,-10.667853121278643
2024-06-25 04:00:00,4228,17.882051434040875,0.3346264162562951,18.860395341655494,1.0,1.9994642526930875,19.0479793548584,0.073,0.31254107278337956,422.6273532999001,-402.3023562868054,-28.40542404108912,-7.033321587408277,-14.801207542619263
2024-06-25 05:00:00,4229,17.896423921247106,16.83809332827142,18.730737914491048,1.0,0.7759497561045643,19.385690689086914,0.073,15.726779168605505,422.291471905668,-404.16480778870476,-25.144355439164535,-6.677872826252532,2.031215020151677
2024-06-25 06:00:00,4230,18.45325000441602,90.22549078521332,17.07143612443079,1.0,1.0166931963256367,19.322328567504883,0.073,84.27060839338924,419.8150679072912,-403.8148788577559,-37.35823009818221,-4.071802063336014,58.840765281406334
2024-06-25 07:00:00,4231,18.543261596853483,161.564410430587,17.709079169463728,0.9304254676528002,1.2112399712082107,19.258155822753906,0.073,150.1865085896869,414.2771424167297,-403.46070476897455,-33.792188290065475,-3.5117683619071562,123.69898958546945
2024-06-25 08:00:00,4232,18.739663741164804,297.61085193585365,17.286789313101703,0.8237544243774029,1.2988570350887498,19.319747924804688,0.073,274.93619569689724,402.44618610232055,-403.8006316029084,-38.238087128201165,-2.9018212596142154,232.441841808494
2024-06-25 09:00:00,4233,18.8210655652332,471.540707162364,16.993311423849182,0.9735604411341788,1.2557311331573018,19.467458724975586,0.073,439.5930796770268,418.38787348055416,-404.6167228135697,-41.63075231563805,-3.2048470796796455,408.52863094869355
2024-06-25 10:00:00,4234,19.05973305182755,630.4876797728633,17.59959446996576,0.9999658668230496,1.4531721457400741,19.652408599853516,0.073,588.8740295605704,425.0335984672008,-405.6403005213034,-41.015324101893235,-3.086432097927044,564.1655713066475
2024-06-25 11:00:00,4235,20.878107256398263,601.8471921649115,17.33677455568901,1.0,0.8679362274496883,19.88584327697754,0.073,562.1252774820273,434.3925287878691,-406.93498118378096,-36.3515362596495,4.11153407093035,557.3428228973963
2024-06-25 12:00:00,4236,20.79961334228733,483.7392253127932,18.591703969401987,1.0,3.233355627293455,19.94556427001953,0.073,451.81243644214885,438.2996120410013,-407.26670437001695,-51.04117091607774,6.216607614159082,438.02078081121454
2024-06-25 13:00:00,4237,19.90540172907964,299.2432362967646,17.923884390904686,1.0,4.380800485594084,19.871124267578125,0.073,279.4931827011781,430.92294384620834,-406.8532548602005,-70.23991089230496,0.30643616066090473,233.62939695554195
2024-06-25 14:00:00,4238,20.86378949323301,102.94383207338716,19.37079884808412,1.0,1.383703001515484,19.940641403198242,0.073,96.1495391565436,441.24881171639464,-407.2393523975292,-28.175720784982783,4.462950939574285,106.44622863000046
2024-06-25 15:00:00,4239,21.28649806392707,103.12905776215092,18.400433390047045,1.0,2.4297654800717963,19.95328712463379,0.073,96.32253994984896,440.4543216179522,-407.3096161490913,-44.87820538303272,8.17719788173197,92.76623791740906
2024-06-25 16:00:00,4240,21.731156203032413,246.3151597289384,18.726720013085192,1.0,0.9900663699566501,20.093730926513672,0.073,230.05835918682845,444.13850272706804,-408.09057908723884,-29.83843399485734,6.851323573774808,243.1191724055752
2024-06-25 17:00:00,4241,20.71575754043016,180.5596455599856,20.930223717176464,1.0,6.578216522265114,20.085554122924805,0.073,168.64270895302653,445.2910619675822,-408.0450797410189,-44.46525003492323,7.3846709372159145,168.80811208188246
2024-06-25 18:00:00,4242,21.41377462701752,92.12333349765082,20.78982277671957,1.0,3.351122024975647,20.061933517456055,0.073,86.04319348680586,448.9513311196785,-407.9136656304805,-29.031337106537233,9.924215379221877,107.97373724868845
2024-06-25 19:00:00,4243,21.03064484398044,33.76547185068426,20.860072320242,1.0,2.176417124134625,20.06594467163086,0.073,31.536950708539095,446.9192677044376,-407.9359795970093,-22.63925778944616,5.661735602904807,53.54271662942603
2024-06-25 20:00:00,4244,20.51072498566947,2.446393184067098,20.928869954140584,1.0,2.2879281033187455,20.072734832763672,0.073,2.2849312339186696,444.090209563269,-407.9737552075103,-23.039610171042252,2.677620179972421,18.039395598607545
2024-06-25 21:00:00,4245,20.567426342141403,0.0,20.16657430389267,1.0,0.9225192734563399,20.154932022094727,0.073,0.0,442.07153401079336,-408.4312498441311,-22.0331542351201,1.7832671965896711,13.390397128131811
2024-06-25 22:00:00,4246,19.99967756740591,0.0,19.51563723931292,1.0,0.3756356749598009,20.230831146240234,0.073,0.0,436.7338919659324,-408.85403216932906,-23.250394307051486,-0.8607770715863445,3.7686884179655102
2024-06-25 23:00:00,4247,19.67315584335517,0.0,18.79087694909682,1.0,0.49845460530583874,20.179712295532227,0.073,0.0,432.5165247904412,-408.5692478014485,-28.432817851865373,-1.994057394082065,-6.479598256954725
2024-06-26 00:00:00,4248,19.309570101049417,0.0,19.72522701408932,1.0,0.7553386070908109,20.130062103271484,0.073,0.0,433.4438937261708,-408.292787814335,-24.725152984051864,-3.554840727575928,-3.128887799791964
2024-06-26 01:00:00,4249,19.014291481785733,0.0,19.532607385087925,1.0,1.7539021237647279,19.93092155456543,0.073,0.0,431.1540834452411,-407.18535192862475,-31.50615941678509,-5.191064973050643,-12.728492873219388
2024-06-26 02:00:00,4250,18.7241723289078,0.0,19.103028432066136,1.0,1.0308436888947126,19.92217445373535,0.073,0.0,428.14327113587035,-407.13676033652973,-29.501507979807457,-5.708417321023013,-14.203414501489853
2024-06-26 03:00:00,4251,18.74950911654093,0.0,19.34625365016265,1.0,1.2289884270218223,19.898971557617188,0.073,0.0,429.06138611060766,-407.0078854793112,-28.969012179219327,-5.766179975029044,-12.681691522951912
2024-06-26 04:00:00,4252,18.83891150144251,0.7254224971497674,18.387700547379737,1.0,0.6019491846105859,19.90752410888672,0.073,0.6775446123378827,426.4611317599593,-407.0553849895597,-30.229370461119473,-4.4636449304659775,-14.609724008847937
